Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Polynomial degree 3,Attack_8,2,V2,1.777145
Healthcare (ECG),Polynomial degree 3,Attack_8,3,V4,1.701594
Healthcare (ECG),Polynomial degree 3,Attack_8,4,V3,1.550712
Healthcare (ECG),Polynomial degree 3,Attack_8,5,I,1.526958
Healthcare (ECG),Polynomial degree 3,Attack_8,6,V1,1.424898
Healthcare (ECG),Polynomial degree 3,Attack_8,7,III,1.327267
Healthcare (ECG),Polynomial degree 3,Attack_8,8,V6,1.311044
Healthcare (ECG),Polynomial degree 3,Attack_8,9,AVR,1.259002
Healthcare (ECG),Polynomial degree 3,Attack_8,10,V5,0.981873
Healthcare (ECG),Polynomial degree 3,Attack_8,11,II,0.676882
Healthcare (ECG),Polynomial degree 3,Attack_8,12,AVF,0.510964
Healthcare (ECG),Polynomial degree 3,Attack_9,1,V6,1.458228
Healthcare (ECG),Polynomial degree 3,Attack_9,2,V3,1.451743
Healthcare (ECG),Polynomial degree 3,Attack_9,3,AVF,1.395804
Healthcare (ECG),Polynomial degree 3,Attack_9,4,I,1.248096
Healthcare (ECG),Polynomial degree 3,Attack_9,5,II,1.153518
Healthcare (ECG),Polynomial degree 3,Attack_9,6,AVR,1.106475
Healthcare (ECG),Polynomial degree 3,Attack_9,7,V2,1.087446
Healthcare (ECG),Polynomial degree 3,Attack_9,8,III,1.047306
Healthcare (ECG),Polynomial degree 3,Attack_9,9,V4,0.690938
Healthcare (ECG),Polynomial degree 3,Attack_9,10,AVL,0.644476
Healthcare (ECG),Polynomial degree 3,Attack_9,11,V5,0.631171
Healthcare (ECG),Polynomial degree 3,Attack_9,12,V1,0.539488
Healthcare (ECG),Polynomial degree 3,Attack_10,1,V3,1.937510
Healthcare (ECG),Polynomial degree 3,Attack_10,2,I,1.316425
Healthcare (ECG),Polynomial degree 3,Attack_10,3,V2,1.243862
Healthcare (ECG),Polynomial degree 3,Attack_10,4,V1,1.213556
Healthcare (ECG),Polynomial degree 3,Attack_10,5,V4,1.194928
Healthcare (ECG),Polynomial degree 3,Attack_10,6,III,0.944427
Healthcare (ECG),Polynomial degree 3,Attack_10,7,V5,0.932935
Healthcare (ECG),Polynomial degree 3,Attack_10,8,AVL,0.864677
Healthcare (ECG),Polynomial degree 3,Attack_10,9,AVF,0.802803
Healthcare (ECG),Polynomial degree 3,Attack_10,10,V6,0.728430
Healthcare (ECG),Polynomial degree 3,Attack_10,11,II,0.674566
Healthcare (ECG),Polynomial degree 3,Attack_10,12,AVR,0.539448
Healthcare (ECG),Polynomial degree 3,Attack_11,1,I,2.324555
Healthcare (ECG),Polynomial degree 3,Attack_11,2,AVF,2.141893
Healthcare (ECG),Polynomial degree 3,Attack_11,3,AVL,2.126661
Healthcare (ECG),Polynomial degree 3,Attack_11,4,III,2.098209
Healthcare (ECG),Polynomial degree 3,Attack_11,5,V6,2.061187
Healthcare (ECG),Polynomial degree 3,Attack_11,6,II,1.785299
Healthcare (ECG),Polynomial degree 3,Attack_11,7,AVR,1.596947
Healthcare (ECG),Polynomial degree 3,Attack_11,8,V5,1.119715
Healthcare (ECG),Polynomial degree 3,Attack_11,9,V4,1.087578
Healthcare (ECG),Polynomial degree 3,Attack_11,10,V2,0.975207
Healthcare (ECG),Polynomial degree 3,Attack_11,11,V3,0.958941
Healthcare (ECG),Polynomial degree 3,Attack_11,12,V1,0.787401
Healthcare (ECG),Polynomial degree 3,Attack_12,1,I,2.220672
Healthcare (ECG),Polynomial degree 3,Attack_12,2,AVL,1.637750
Healthcare (ECG),Polynomial degree 3,Attack_12,3,V5,1.102301
Healthcare (ECG),Polynomial degree 3,Attack_12,4,V6,1.071856
Healthcare (ECG),Polynomial degree 3,Attack_12,5,AVR,1.002673
Healthcare (ECG),Polynomial degree 3,Attack_12,6,III,0.967509
Healthcare (ECG),Polynomial degree 3,Attack_12,7,V4,0.760214
Healthcare (ECG),Polynomial degree 3,Attack_12,8,V3,0.721610
Healthcare (ECG),Polynomial degree 3,Attack_12,9,V2,0.714058
Healthcare (ECG),Polynomial degree 3,Attack_12,10,V1,0.704263
Healthcare (ECG),Polynomial degree 3,Attack_12,11,II,0.684549
Healthcare (ECG),Polynomial degree 3,Attack_12,12,AVF,0.449276
Healthcare (ECG),Polynomial degree 3,Attack_13,1,III,1.665082
Healthcare (ECG),Polynomial degree 3,Attack_13,2,AVF,1.445717
Healthcare (ECG),Polynomial degree 3,Attack_13,3,AVL,1.429173
Healthcare (ECG),Polynomial degree 3,Attack_13,4,II,1.033089
Healthcare (ECG),Polynomial degree 3,Attack_13,5,V4,0.996713
Healthcare (ECG),Polynomial degree 3,Attack_13,6,V5,0.923340
